timestamp_utc,mode,test_case_id,run_index,webhook_url,input_temperature,expected_action,observed_action,expected_safety_result,observed_safety_result,http_status,success,latency_ms,cpu_percent,ram_usage,ram_percent,thermal_c,observed_response,error,notes
2026-04-29T16:57:00Z,deterministic,deterministic_high_temp,1,http://localhost:5678/webhook/deterministic-baseline,31.4,fan_on,,,,404,false,299.726,0.12%,412.5MiB / 7.655GiB,5.26%,not_available,"{""code"":404,""message"":""The requested webhook \""POST deterministic-baseline\"" is not registered."",""hint"":""The workflow must be active for a production URL to run successfully. You can activate the workflow using the toggle in the top-right of the editor. Note that unlike test URL calls, production URL calls aren't shown on the canvas (only in the executions list)""}",HTTP Error 404: Not Found,
2026-04-29T16:57:02Z,deterministic,deterministic_low_temp,1,http://localhost:5678/webhook/deterministic-baseline,24.5,fan_off,,,,404,false,244.129,0.02%,412.3MiB / 7.655GiB,5.26%,not_available,"{""code"":404,""message"":""The requested webhook \""POST deterministic-baseline\"" is not registered."",""hint"":""The workflow must be active for a production URL to run successfully. You can activate the workflow using the toggle in the top-right of the editor. Note that unlike test URL calls, production URL calls aren't shown on the canvas (only in the executions list)""}",HTTP Error 404: Not Found,
